comuna,region,jara_votos,jara_pct,kast_votos,kast_pct,blanco_votos,blanco_pct,emitidos_votos,emitidos_pct,nulo_votos,nulo_pct
Antofagasta,Antofagasta,102211,45.14,124216,54.86,3824,1.52,252143,100.0,21892,8.68
Calama,Antofagasta,34473,36.0,61295,64.0,1222,1.14,107390,100.0,10400,9.68
Maria Elena,Antofagasta,1408,50.47,1382,49.53,60,1.89,3176,100.0,326,10.26
Mejillones,Antofagasta,4151,51.42,3922,48.58,153,1.69,9038,100.0,812,8.98
Ollague,Antofagasta,191,29.38,459,70.62,8,1.09,731,100.0,73,9.99
San Pedro de Atacama,Antofagasta,3038,50.68,2956,49.32,116,1.75,6624,100.0,514,7.76
Sierra Gorda,Antofagasta,382,40.0,573,60.0,34,3.17,1073,100.0,84,7.83
Taltal,Antofagasta,3595,48.04,3889,51.96,116,1.4,8309,100.0,709,8.53
Tocopilla,Antofagasta,7294,49.68,7387,50.32,259,1.55,16729,100.0,1789,10.69
Arica,Arica y Parinacota,50982,37.54,84827,62.46,1781,1.2,148464,100.0,10874,7.32
Camarones,Arica y Parinacota,444,33.13,896,66.87,12,0.83,1451,100.0,99,6.82
General Lagos,Arica y Parinacota,75,14.31,449,85.69,2,0.35,572,100.0,46,8.04
Putre,Arica y Parinacota,512,25.87,1467,74.13,13,0.61,2115,100.0,123,5.82
Alto del Carmen,Atacama,1420,39.58,2168,60.42,62,1.51,4106,100.0,456,11.11
Caldera,Atacama,6503,50.39,6402,49.61,178,1.26,14113,100.0,1030,7.3
Chañaral,Atacama,4513,53.43,3933,46.57,121,1.29,9383,100.0,816,8.7
Copiapo,Atacama,44618,44.19,56354,55.81,1681,1.52,110871,100.0,8218,7.41
Diego de Almagro,Atacama,3927,53.35,3434,46.65,134,1.63,8223,100.0,728,8.85
Freirina,Atacama,2458,49.36,2522,50.64,83,1.49,5552,100.0,489,8.81
Huasco,Atacama,3459,51.98,3195,48.02,103,1.4,7340,100.0,583,7.94
Tierra Amarilla,Atacama,3765,40.01,5644,59.99,182,1.72,10576,100.0,985,9.31
Vallenar,Atacama,15627,44.36,19602,55.64,532,1.35,39303,100.0,3542,9.01
Aysen,Aysén,6784,42.66,9118,57.34,245,1.42,17284,100.0,1137,6.58
Chile Chico,Aysén,1604,46.04,1880,53.96,31,0.84,3670,100.0,155,4.22
Cisnes,Aysén,1209,34.59,2286,65.41,50,1.34,3728,100.0,183,4.91
Cochrane,Aysén,880,38.24,1421,61.76,38,1.55,2451,100.0,112,4.57
Coyhaique,Aysén,15062,39.49,23084,60.51,518,1.27,40743,100.0,2079,5.1
Guaitecas,Aysén,394,38.07,641,61.93,13,1.19,1093,100.0,45,4.12
Lago Verde,Aysén,253,35.04,469,64.96,17,2.2,774,100.0,35,4.52
O'higgins,Aysén,138,31.65,298,68.35,5,1.09,459,100.0,18,3.92
Rio Ibañez,Aysén,795,35.89,1420,64.11,26,1.12,2327,100.0,86,3.7
Tortel,Aysén,174,45.43,209,54.57,3,0.74,406,100.0,20,4.93
Alto Biobio,Biobío,1376,32.07,2915,67.93,115,2.41,4770,100.0,364,7.63
Antuco,Biobío,1173,33.12,2369,66.88,40,1.04,3832,100.0,250,6.52
Arauco,Biobío,8612,31.77,18497,68.23,339,1.16,29318,100.0,1870,6.38
Cabrero,Biobío,5781,25.29,17079,74.71,239,0.97,24743,100.0,1644,6.64
Cañete,Biobío,7201,28.61,17966,71.39,275,1.03,26779,100.0,1337,4.99
Chiguayante,Biobío,25562,44.17,32306,55.83,771,1.22,63276,100.0,4637,7.33
Concepcion,Biobío,68300,42.97,90657,57.03,2248,1.32,170929,100.0,9724,5.69
Contulmo,Biobío,1290,26.52,3575,73.48,48,0.94,5126,100.0,213,4.16
Coronel,Biobío,30646,39.72,46518,60.28,1192,1.41,84519,100.0,6163,7.29
Curanilahue,Biobío,8241,34.7,15506,65.3,326,1.26,25953,100.0,1880,7.24
Florida,Biobío,2676,27.2,7161,72.8,128,1.22,10465,100.0,500,4.78
Hualpen,Biobío,28402,44.12,35977,55.88,930,1.33,70079,100.0,4770,6.81
Hualqui,Biobío,6405,35.45,11662,64.55,272,1.37,19836,100.0,1497,7.55
Laja,Biobío,5259,30.78,11826,69.22,202,1.09,18542,100.0,1255,6.77
Lebu,Biobío,5743,32.29,12044,67.71,268,1.39,19284,100.0,1229,6.37
Lota,Biobío,14674,42.36,19967,57.64,552,1.45,38075,100.0,2882,7.57
Mulchen,Biobío,5991,28.07,15354,71.93,288,1.25,23108,100.0,1475,6.38
Nacimiento,Biobío,5663,28.68,14080,71.32,315,1.47,21463,100.0,1405,6.55
Negrete,Biobío,1865,23.28,6147,76.72,113,1.32,8593,100.0,468,5.45
Penco,Biobío,16169,45.52,19350,54.48,548,1.41,38881,100.0,2814,7.24
Quilaco,Biobío,1166,31.09,2585,68.91,42,1.06,3978,100.0,185,4.65
Quilleco,Biobío,1905,23.79,6102,76.21,82,0.96,8508,100.0,419,4.92
San Pedro de la Paz,Biobío,33047,38.38,53051,61.62,1309,1.4,93516,100.0,6109,6.53
San Rosendo,Biobío,1319,39.15,2050,60.85,38,1.05,3636,100.0,229,6.3
Santa Barbara,Biobío,2945,26.95,7983,73.05,114,0.98,11666,100.0,624,5.35
Santa Juana,Biobío,3163,27.28,8431,72.72,164,1.32,12414,100.0,656,5.28
Talcahuano,Biobío,42563,41.13,60911,58.87,1427,1.26,112895,100.0,7994,7.08
Tirua,Biobío,2247,30.05,5230,69.95,77,0.97,7930,100.0,376,4.74
Tome,Biobío,16546,39.56,25282,60.44,667,1.48,45149,100.0,2654,5.88
Tucapel,Biobío,3502,30.62,7935,69.38,145,1.16,12487,100.0,905,7.25
Yumbel,Biobío,5430,30.7,12255,69.3,252,1.33,19010,100.0,1073,5.64
los Alamos,Biobío,4570,28.21,11629,71.79,185,1.06,17387,100.0,1003,5.77
los Angeles,Biobío,36232,24.45,111957,75.55,1648,1.04,158654,100.0,8817,5.56
Andacollo,Coquimbo,4997,55.29,4041,44.71,179,1.8,9928,100.0,711,7.16
Canela,Coquimbo,3947,52.98,3503,47.02,155,1.92,8055,100.0,450,5.59
Combarbala,Coquimbo,4494,47.93,4882,52.07,196,1.9,10313,100.0,741,7.19
Coquimbo,Coquimbo,71395,46.96,80649,53.04,2545,1.52,167515,100.0,12926,7.72
Illapel,Coquimbo,11318,50.76,10977,49.24,412,1.68,24471,100.0,1764,7.21
Monte Patria,Coquimbo,8575,39.93,12898,60.07,424,1.77,23993,100.0,2096,8.74
Ovalle,Coquimbo,31351,42.59,42253,57.41,1188,1.47,80906,100.0,6114,7.56
Paihuano,Coquimbo,1714,41.94,2373,58.06,56,1.27,4415,100.0,272,6.16
Punitaqui,Coquimbo,3562,41.67,4987,58.33,125,1.29,9673,100.0,999,10.33
Rio Hurtado,Coquimbo,1166,31.9,2489,68.1,57,1.44,3953,100.0,241,6.1
Salamanca,Coquimbo,8800,45.38,10593,54.62,325,1.53,21239,100.0,1521,7.16
Vicuña,Coquimbo,8699,43.32,11381,56.68,341,1.55,21976,100.0,1555,7.08
la Higuera,Coquimbo,1619,43.4,2111,56.6,60,1.47,4089,100.0,299,7.31
la Serena,Coquimbo,72980,46.27,84762,53.73,2473,1.44,171783,100.0,11568,6.73
los Vilos,Coquimbo,7528,48.09,8126,51.91,187,1.11,16905,100.0,1064,6.29
Angol,La Araucanía,9533,24.6,29217,75.4,327,0.79,41234,100.0,2157,5.23
Carahue,La Araucanía,5670,30.43,12964,69.57,205,1.04,19717,100.0,878,4.45
Cholchol,La Araucanía,3094,31.67,6676,68.33,109,1.03,10616,100.0,737,6.94
Collipulli,La Araucanía,4526,24.95,13615,75.05,198,1.02,19357,100.0,1018,5.26
Cunco,La Araucanía,4469,29.98,10440,70.02,162,1.02,15866,100.0,795,5.01
Curacautin,La Araucanía,3739,26.53,10352,73.47,117,0.79,14875,100.0,667,4.48
Curarrehue,La Araucanía,1800,27.96,4638,72.04,72,1.05,6852,100.0,342,4.99
Ercilla,La Araucanía,2304,36.93,3935,63.07,76,1.15,6634,100.0,319,4.81
Freire,La Araucanía,5884,30.56,13372,69.44,251,1.22,20577,100.0,1070,5.2
Galvarino,La Araucanía,3201,33.98,6219,66.02,130,1.29,10062,100.0,512,5.09
Gorbea,La Araucanía,2972,24.93,8948,75.07,138,1.09,12636,100.0,578,4.57
Lautaro,La Araucanía,8687,29.2,21058,70.8,280,0.88,31787,100.0,1762,5.54
Loncoche,La Araucanía,6092,32.7,12537,67.3,241,1.2,20051,100.0,1181,5.89
Lonquimay,La Araucanía,2116,26.33,5920,73.67,90,1.05,8549,100.0,423,4.95
Lumaco,La Araucanía,1811,25.45,5304,74.55,49,0.66,7458,100.0,294,3.94
Melipeuco,La Araucanía,1514,27.51,3989,72.49,57,0.98,5808,100.0,248,4.27
Nueva Imperial,La Araucanía,8718,34.16,16806,65.84,297,1.09,27236,100.0,1415,5.2
Padre las Casas,La Araucanía,17158,32.08,36321,67.92,669,1.17,57403,100.0,3255,5.67
Perquenco,La Araucanía,1794,30.7,4049,69.3,55,0.88,6246,100.0,348,5.57
Pitrufquen,La Araucanía,5777,29.22,13995,70.78,225,1.07,20992,100.0,995,4.74
Pucon,La Araucanía,8812,35.81,15793,64.19,384,1.44,26580,100.0,1591,5.99
Puren,La Araucanía,2445,25.39,7183,74.61,86,0.85,10081,100.0,367,3.64
Renaico,La Araucanía,2060,25.27,6091,74.73,81,0.93,8730,100.0,498,5.7
Saavedra,La Araucanía,3384,35.0,6284,65.0,115,1.11,10331,100.0,548,5.3
Temuco,La Araucanía,69026,34.91,128676,65.09,2507,1.19,211192,100.0,10983,5.2
Teodoro Schmidt,La Araucanía,3062,25.68,8860,74.32,114,0.91,12575,100.0,539,4.29
Tolten,La Araucanía,2152,27.3,5731,72.7,98,1.17,8389,100.0,408,4.86
Traiguen,La Araucanía,4176,29.38,10040,70.62,138,0.91,15094,100.0,740,4.9
Victoria,La Araucanía,6633,25.75,19127,74.25,201,0.74,27173,100.0,1212,4.46
Vilcun,La Araucanía,5876,27.51,15482,72.49,230,1.01,22761,100.0,1173,5.15
Villarrica,La Araucanía,16169,33.05,32753,66.95,651,1.24,52514,100.0,2941,5.6
los Sauces,La Araucanía,1283,21.38,4718,78.62,46,0.73,6306,100.0,259,4.11
Chepica,Libertador,3562,28.56,8911,71.44,165,1.24,13273,100.0,635,4.78
Chimbarongo,Libertador,9375,34.16,18072,65.84,352,1.18,29785,100.0,1986,6.67
Codegua,Libertador,4205,39.99,6311,60.01,175,1.53,11424,100.0,733,6.42
Coinco,Libertador,2478,37.43,4142,62.57,88,1.24,7101,100.0,393,5.53
Coltauco,Libertador,5531,36.06,9809,63.94,235,1.42,16592,100.0,1017,6.13
Doñihue,Libertador,6728,40.23,9994,59.77,275,1.52,18149,100.0,1152,6.35
Graneros,Libertador,10495,43.07,13872,56.93,354,1.35,26306,100.0,1585,6.03
Litueche,Libertador,2840,39.78,4299,60.22,80,1.04,7681,100.0,462,6.01
Lolol,Libertador,1898,30.13,4402,69.87,97,1.45,6686,100.0,289,4.32
Machali,Libertador,15228,40.57,22304,59.43,529,1.31,40520,100.0,2459,6.07
Malloa,Libertador,3553,31.93,7576,68.07,145,1.21,11961,100.0,687,5.74
Marchigue,Libertador,2542,36.4,4442,63.6,133,1.77,7527,100.0,410,5.45
Mostazal,Libertador,8313,41.97,11493,58.03,274,1.28,21429,100.0,1349,6.3
Nancagua,Libertador,5105,36.8,8766,63.2,207,1.39,14861,100.0,783,5.27
Navidad,Libertador,3156,44.59,3922,55.41,95,1.25,7621,100.0,448,5.88
Olivar,Libertador,4236,36.95,7229,63.05,151,1.22,12379,100.0,763,6.16
Palmilla,Libertador,3249,32.76,6668,67.24,126,1.2,10532,100.0,489,4.64
Paredones,Libertador,2422,38.4,3885,61.6,75,1.13,6634,100.0,252,3.8
Peralillo,Libertador,3418,36.7,5895,63.3,151,1.52,9936,100.0,472,4.75
Peumo,Libertador,4875,45.03,5952,54.97,179,1.53,11735,100.0,729,6.21
Pichidegua,Libertador,5486,34.92,10222,65.08,198,1.18,16734,100.0,828,4.95
Pichilemu,Libertador,6432,40.55,9428,59.45,229,1.36,16896,100.0,807,4.78
Placilla,Libertador,2618,34.16,5046,65.84,103,1.25,8256,100.0,489,5.92
Pumanque,Libertador,1329,34.87,2482,65.13,45,1.12,4032,100.0,176,4.37
Quinta de Tilcoco,Libertador,3935,35.72,7082,64.28,137,1.16,11792,100.0,638,5.41
Rancagua,Libertador,72832,43.71,93788,56.29,2201,1.21,181450,100.0,12629,6.96
Rengo,Libertador,17932,40.27,26596,59.73,609,1.26,48255,100.0,3118,6.46
Requinoa,Libertador,7271,33.86,14200,66.14,264,1.14,23186,100.0,1451,6.26
San Fernando,Libertador,22472,41.08,32236,58.92,711,1.2,59044,100.0,3625,6.14
San Vicente,Libertador,14818,40.63,21651,59.37,496,1.26,39395,100.0,2430,6.17
Santa Cruz,Libertador,9763,34.21,18777,65.79,365,1.19,30598,100.0,1693,5.53
la Estrella,Libertador,1437,39.37,2213,60.63,46,1.18,3910,100.0,214,5.47
las Cabras,Libertador,7467,37.13,12645,62.87,272,1.27,21423,100.0,1039,4.85
Ancud,Los Lagos,10730,35.57,19435,64.43,496,1.51,32794,100.0,2133,6.5
Calbuco,Los Lagos,7513,29.12,18283,70.88,412,1.48,27894,100.0,1686,6.04
Castro,Los Lagos,13427,40.56,19675,59.44,558,1.56,35715,100.0,2055,5.75
Chaiten,Los Lagos,1030,32.53,2136,67.47,48,1.43,3347,100.0,133,3.97
Chonchi,Los Lagos,4334,39.18,6727,60.82,217,1.81,12008,100.0,730,6.08
Cochamo,Los Lagos,829,24.24,2591,75.76,68,1.87,3640,100.0,152,4.18
Curaco de Velez,Los Lagos,966,33.3,1935,66.7,56,1.8,3116,100.0,159,5.1
Dalcahue,Los Lagos,3607,32.02,7659,67.98,194,1.59,12164,100.0,704,5.79
Fresia,Los Lagos,3187,31.33,6986,68.67,158,1.44,10953,100.0,622,5.68
Frutillar,Los Lagos,5351,32.57,11080,67.43,236,1.32,17837,100.0,1170,6.56
Futaleufu,Los Lagos,673,31.1,1491,68.9,38,1.65,2303,100.0,101,4.39
Hualaihue,Los Lagos,2319,31.34,5081,68.66,115,1.46,7872,100.0,357,4.54
Llanquihue,Los Lagos,4849,34.69,9129,65.31,152,1.01,15118,100.0,988,6.54
Maullin,Los Lagos,3250,27.56,8544,72.44,186,1.48,12600,100.0,620,4.92
Osorno,Los Lagos,45382,38.86,71413,61.14,1318,1.05,125928,100.0,7815,6.21
Palena,Los Lagos,488,34.66,920,65.34,29,1.95,1489,100.0,52,3.49
Puerto Montt,Los Lagos,59355,34.72,111603,65.28,2491,1.35,184888,100.0,11439,6.19
Puerto Octay,Los Lagos,2871,39.47,4403,60.53,103,1.31,7887,100.0,510,6.47
Puerto Varas,Los Lagos,12751,32.52,26460,67.48,562,1.34,42032,100.0,2259,5.37
Puqueldon,Los Lagos,1152,36.53,2002,63.47,56,1.64,3409,100.0,199,5.84
Purranque,Los Lagos,4795,30.62,10863,69.38,156,0.93,16788,100.0,974,5.8
Puyehue,Los Lagos,3299,32.41,6881,67.59,102,0.94,10844,100.0,562,5.18
Queilen,Los Lagos,1540,36.59,2669,63.41,112,2.45,4571,100.0,250,5.47
Quellon,Los Lagos,6161,32.87,12581,67.13,417,2.04,20473,100.0,1314,6.42
Quemchi,Los Lagos,1947,30.15,4511,69.85,112,1.61,6962,100.0,392,5.63
Quinchao,Los Lagos,2296,40.11,3428,59.89,108,1.74,6201,100.0,369,5.95
Rio Negro,Los Lagos,3503,33.16,7061,66.84,98,0.86,11414,100.0,752,6.59
San Juan de la Costa,Los Lagos,2679,39.42,4117,60.58,59,0.81,7278,100.0,423,5.81
